stack_height,top_etd_gap_days,same_vessel,same_port,weight_ok,weight_rank_inc,weight_rank_top,block_occ,days_until_dep,unsafe_count,intra_vessel_rank,unsafe_rank_count,rank_gap_to_top,unsafe_x_height,min_height_pct,hours_until_load,same_group_in_stack,initial_below_count,reshuffles
1,16.6557,0,0,1,3,3,0.5009,0.9417,0,3,0,-6,0,0.0548,12.84,0,0,0
2,13.7036,0,0,1,2,1,0.5975,0.7749,0,4,0,-1,0,0.5132,8.83,0,0,0
1,15.1405,0,0,1,2,2,0.5213,0.9992,0,4,0,-9,0,0.0925,14.22,0,0,1
1,2.8324,0,0,0,2,3,0.4956,1.0287,0,4,0,-2,0,0.1129,14.92,0,0,1
2,4.1085,0,1,1,2,2,0.6058,0.7654,0,4,0,-12,0,0.5078,8.6,0,0,0
2,3.7969,0,0,0,2,3,0.54,0.8399,0,4,0,-8,0,0.5502,10.39,0,0,0
2,-18.6486,1,0,0,2,3,0.5556,19.0828,2,4,1,-11,4,0.3466,240.0,0,1,0
2,19.3391,0,0,1,2,2,0.5317,0.7236,0,4,0,-3,0,0.4841,7.6,0,0,0
2,1.4371,0,1,1,2,2,0.6325,0.7351,0,4,0,0,0,0.4906,7.88,0,0,0
2,3.7969,0,0,1,2,2,0.5342,0.7209,0,4,0,-9,0,0.4825,7.54,0,0,0
1,3.7969,0,0,1,2,1,0.5181,0.8718,0,4,0,-4,0,0.0134,11.16,0,0,0
2,4.9734,0,1,0,1,2,0.6233,1.0736,0,11,0,1,0,0.3697,7.29,0,0,0
1,4.3838,0,0,0,2,3,0.4986,0.8851,0,4,0,-2,0,0.021,11.48,0,0,0
1,20.9808,0,0,1,2,1,0.5167,0.8727,0,4,0,4,0,0.014,11.18,0,0,0
2,3.1622,0,0,0,1,3,0.5717,0.6781,0,5,0,-4,0,0.4584,6.51,0,0,0
2,21.4174,0,0,0,1,3,0.6167,0.7531,0,5,0,5,0,0.5008,8.31,0,0,0
2,15.3715,0,0,0,1,2,0.5742,0.8012,0,5,0,5,0,0.5282,9.46,0,0,0
2,3.7969,0,0,0,1,2,0.5442,0.7097,0,5,0,-5,0,0.4761,7.27,0,0,0
2,13.7036,0,0,0,1,3,0.6242,0.7446,0,5,0,2,0,0.496,8.11,0,0,0
2,0.6022,0,0,0,1,2,0.605,0.7664,0,5,0,-5,0,0.5083,8.63,0,0,0
2,-8.4503,0,0,0,1,2,0.5741,9.352,2,5,2,4,4,0.2911,211.71,0,2,0
2,1.4371,0,0,1,1,1,0.5817,0.7929,0,5,0,3,0,0.5234,9.26,0,0,0
1,17.2381,0,0,0,1,2,0.5139,1.0044,0,5,0,5,0,0.0968,14.34,0,0,2
2,1.4371,0,0,0,1,3,0.5967,0.7757,0,5,0,5,0,0.5137,8.85,0,0,0
2,3.7969,0,0,0,1,2,0.6125,0.7577,0,5,0,4,0,0.5035,8.42,0,0,0
1,29.216,0,0,1,3,3,0.5431,0.8539,0,6,0,6,0,0.0032,10.73,0,0,0
1,3.7969,0,0,1,3,2,0.5375,0.8579,0,6,0,2,0,0.0054,10.82,0,0,0
1,0.0,1,0,1,3,1,0.5065,0.976,0,6,1,4,0,0.0753,13.66,0,0,1
2,15.1405,0,0,1,3,2,0.6008,0.7709,0,6,0,5,0,0.511,8.74,0,0,0
2,2.8075,0,0,1,3,1,0.54,0.7144,0,6,0,4,0,0.4788,7.38,0,0,0
1,17.0829,0,0,1,3,2,0.5213,0.9212,0,6,0,-4,0,0.0419,12.34,0,0,0
2,3.1622,0,0,1,3,2,0.6158,0.5671,0,6,0,5,0,0.4299,3.85,0,0,0
2,15.7443,0,0,1,3,1,0.5883,0.7852,0,6,0,6,0,0.5191,9.08,0,0,0
1,9.7056,0,0,1,3,2,0.5065,0.9352,0,9,0,9,0,0.0516,12.68,0,0,0
1,20.6347,0,0,1,2,1,0.5133,1.0144,0,7,0,7,0,0.1032,14.58,0,0,1
2,0.0,1,0,1,3,2,0.5433,1.135,0,9,1,8,0,0.4073,8.76,0,0,0
1,19.3391,0,0,1,2,2,0.5157,1.003,0,7,0,0,0,0.0957,14.31,0,0,1
2,15.0412,0,0,1,3,1,0.5333,1.053,0,9,0,9,0,0.3573,6.79,0,0,0
2,13.1013,0,1,1,3,3,0.6156,1.0796,0,9,0,9,0,0.3735,7.43,0,0,0
1,15.1405,0,0,1,2,2,0.4806,0.9143,0,7,0,3,0,0.0371,12.18,0,0,0
2,16.6557,0,0,1,2,2,0.5675,0.683,0,7,0,6,0,0.461,6.63,0,0,0
2,18.7369,0,1,1,3,2,0.6367,0.8673,0,9,0,2,0,0.2809,2.34,0,0,0
2,8.4503,0,1,1,3,2,0.5356,1.1414,0,9,0,8,0,0.4111,8.91,0,0,0
1,20.0713,0,1,0,1,2,0.4867,1.0352,0,8,0,7,0,0.1172,15.08,0,0,1
2,2.2053,0,1,1,3,3,0.5759,0.9001,0,9,0,3,0,0.29,3.12,0,0,0
1,23.8565,0,0,1,1,1,0.51,1.0506,0,8,0,8,0,0.1269,15.45,0,0,1
2,15.1405,0,0,1,1,1,0.5383,0.7163,0,8,1,-6,0,0.4798,7.43,0,0,0
2,21.5677,0,0,1,2,2,0.5889,0.8778,0,10,0,-3,0,0.2836,2.59,0,0,0
1,18.6486,1,0,0,1,2,0.5185,0.9653,0,8,0,-2,0,0.0683,13.4,0,0,0
1,4.3838,0,0,0,1,2,0.5139,0.8907,0,8,0,7,0,0.0242,11.61,0,0,0
1,16.4807,0,0,1,2,1,0.538,1.5887,0,10,0,8,0,0.0828,19.65,0,0,0
2,4.7407,0,0,1,2,2,0.5633,1.031,0,10,0,9,0,0.3428,6.27,0,0,0
2,14.5383,1,0,0,2,3,0.5861,0.8844,0,10,0,4,0,0.2852,2.75,0,0,0
2,20.0713,0,0,0,1,2,0.5842,0.7899,0,8,0,-2,0,0.5218,9.19,0,0,0
2,-0.6022,0,1,1,2,2,0.5978,0.9944,1,10,1,9,2,0.3267,5.39,0,0,0
1,2.8075,0,0,0,1,2,0.5014,0.9002,0,8,0,1,0,0.029,11.84,0,0,0
2,-0.6022,0,0,1,2,1,0.6311,1.0661,1,10,1,2,2,0.3659,7.11,0,0,1
2,-0.6022,0,0,0,2,3,0.6189,0.9752,1,10,1,1,2,0.317,4.93,0,0,0
1,4.3838,0,0,1,3,3,0.537,0.9872,0,12,0,9,0,0.0833,13.93,0,0,0
2,0.6022,0,0,1,3,1,0.6158,0.7539,0,12,0,1,0,0.5013,8.33,0,0,0
2,-0.6022,0,0,0,2,3,0.62,1.0766,1,10,1,1,2,0.3713,7.36,0,0,0
1,4.1085,0,0,1,3,2,0.5044,1.0209,0,12,0,-4,0,0.1075,14.74,0,0,1
1,0.6022,0,0,1,3,2,0.5292,0.8636,0,12,0,2,0,0.0086,10.96,0,0,0
1,-9.7976,0,0,1,2,2,0.5241,16.0596,1,10,1,3,1,0.0403,240.0,0,1,0
2,-0.6022,0,0,1,2,2,0.6375,0.9934,1,10,1,3,2,0.3267,5.37,0,0,0
2,3.7969,0,0,0,2,3,0.6367,0.7303,0,13,0,13,0,0.4879,7.76,0,0,0
2,2.2301,0,0,0,2,3,0.6242,1.1628,0,10,0,7,0,0.4245,9.43,0,0,0
2,-0.6022,0,0,1,2,2,0.6078,0.9828,2,10,1,-6,4,0.3219,5.11,0,1,0
2,0.8348,0,0,1,2,1,0.5644,1.1196,0,10,0,8,0,0.3971,8.39,0,0,0
2,0.6022,0,0,0,2,3,0.5633,0.6876,0,13,0,13,0,0.4637,6.74,0,0,0
2,3.7969,0,0,0,2,3,0.5642,0.8123,0,13,0,10,0,0.5347,9.73,0,0,0
2,10.4227,0,0,0,2,3,0.5775,0.6718,0,13,0,13,0,0.4546,6.36,0,0,0
2,-0.6022,0,1,0,1,2,0.6375,0.9151,1,11,1,10,2,0.2948,3.48,0,0,0
2,7.4727,0,0,0,1,2,0.615,1.1703,0,11,0,11,0,0.4304,9.61,0,0,0
1,13.7036,0,0,0,2,3,0.5148,0.9692,0,13,0,10,0,0.0704,13.5,0,0,0
2,7.7823,0,0,0,1,3,0.5389,0.9583,0,11,0,11,0,0.3106,4.52,0,0,0
2,1.4371,0,0,1,2,1,0.5658,0.8104,0,1,0,-1,0,0.5336,9.69,0,0,0
2,3.5063,0,1,0,1,3,0.5933,1.1932,0,11,0,11,0,0.4444,10.16,0,0,0
2,19.6782,0,0,0,1,2,0.59,1.0997,0,11,0,11,0,0.3853,7.92,0,0,0
2,3.1947,0,0,0,1,2,0.5537,0.9362,0,11,0,1,0,0.302,3.99,0,0,0
2,16.6557,0,0,0,1,2,0.6175,0.7518,0,14,0,10,0,0.5003,8.28,0,0,0
1,0.0,1,0,0,1,3,0.5231,0.9607,0,14,1,8,0,0.0656,13.29,0,0,0
2,16.4807,0,0,0,1,2,0.5256,1.0586,0,11,0,4,0,0.3611,6.93,0,0,0
1,1.4371,0,0,1,3,2,0.5033,1.5529,0,9,0,5,0,0.178,27.51,0,0,1
2,23.3506,0,0,0,1,2,0.5322,1.0539,1,11,1,11,2,0.3579,6.82,0,1,0
2,18.7369,0,1,0,1,3,0.6108,1.1752,0,11,0,5,0,0.4331,9.73,0,0,0
2,4.1085,0,0,1,2,1,0.5567,0.6954,0,10,0,-7,0,0.468,6.93,0,0,0
2,19.3391,0,0,1,2,2,0.5392,0.7152,0,10,0,3,0,0.4793,7.4,0,0,0
1,20.0713,0,1,1,2,2,0.5264,0.8664,0,10,0,0,0,0.0102,11.03,0,0,0
2,0.0,1,1,1,3,2,0.6311,0.8703,0,3,0,-1,0,0.282,2.41,0,0,0
2,22.837,0,0,0,2,3,0.595,0.7777,0,10,0,4,0,0.5148,8.9,0,0,0
2,-0.6022,0,0,1,3,1,0.6375,0.9313,1,3,1,1,2,0.3015,3.87,0,1,0
2,0.6022,0,0,0,1,2,0.55,0.7028,0,11,0,7,0,0.4723,7.1,0,0,0
2,17.6034,0,0,0,1,2,0.5992,0.7726,0,11,0,10,0,0.5121,8.78,0,0,0
2,0.0,1,1,1,2,2,0.5602,0.9249,0,4,0,0,0,0.2981,3.72,1,0,0
1,0.6022,0,0,0,1,2,0.4944,0.9051,0,11,0,10,0,0.0317,11.96,0,0,0
1,16.6557,0,0,1,3,1,0.4944,0.888,0,15,0,10,0,0.0226,11.55,0,0,0
2,-0.6022,0,0,1,2,2,0.5822,1.0145,1,4,0,-12,2,0.3337,5.87,0,0,0
1,3.7969,0,0,1,3,2,0.49,1.033,0,15,0,8,0,0.1156,15.03,0,0,1
2,-14.5401,0,0,1,3,2,0.59,19.2434,1,15,1,2,2,0.4465,240.0,0,1,1
2,2.56,0,1,1,2,1,0.58,1.108,0,4,0,2,0,0.3901,8.11,0,0,0
1,15.1405,0,0,0,2,3,0.5264,0.8652,0,16,0,16,0,0.0097,11.0,0,0,0
1,2.8324,0,0,0,2,3,0.4861,0.9106,0,16,0,13,0,0.0349,12.09,0,0,0
2,17.0012,0,0,1,2,1,0.5908,1.1962,0,4,0,-4,0,0.446,10.23,0,0,0
2,-0.6022,0,0,1,2,2,0.6025,1.1836,1,4,1,3,2,0.4385,9.93,0,1,0
1,2.2301,0,0,0,2,3,0.5102,1.5755,0,4,0,-2,0,0.0731,19.33,0,0,0
1,9.0526,1,0,0,1,3,0.5097,0.8937,0,17,0,17,0,0.0258,11.68,0,0,0
2,13.744,0,0,1,2,2,0.6278,1.0688,0,4,0,3,0,0.3675,7.17,0,0,0
1,3.1622,0,0,0,1,3,0.5315,0.9521,0,17,0,8,0,0.0608,13.09,0,0,0
1,9.0526,1,0,1,1,1,0.5315,0.9532,0,17,0,12,0,0.0608,13.11,0,0,0
1,22.837,0,0,0,1,3,0.5042,0.8812,0,17,0,17,0,0.0188,11.39,0,0,0
2,0.0,1,0,1,1,1,0.5656,1.1186,0,5,0,-6,0,0.3966,8.37,0,0,0
2,4.7407,0,1,0,1,3,0.5815,0.8941,0,5,0,-4,0,0.2873,2.98,1,0,0
2,3.1947,0,0,0,1,2,0.5783,1.2094,0,5,0,-8,0,0.4541,10.55,0,0,0
2,13.1013,0,0,1,1,1,0.6367,0.877,0,5,0,0,0,0.2836,2.57,0,0,0
2,-14.3462,0,0,1,3,2,0.5611,14.6676,2,9,2,2,4,0.2975,240.0,0,1,1
2,4.7407,0,1,0,1,2,0.5704,0.9094,1,5,1,-5,2,0.2927,3.35,0,1,0
2,-0.6022,0,0,1,1,1,0.575,0.9008,1,5,0,-3,2,0.2905,3.14,0,0,0
2,-6.088,0,0,0,1,2,0.5667,15.8245,2,5,1,4,4,0.4616,240.0,0,2,0
2,-0.6022,0,1,1,1,1,0.5878,1.0059,1,5,0,0,2,0.331,5.66,0,1,0
2,-0.6022,0,1,1,1,1,0.5556,0.935,1,5,0,0,2,0.3009,3.96,0,0,0
1,0.0,1,1,1,3,2,0.5083,0.8945,0,3,0,-1,0,0.0263,11.7,0,0,0
2,-0.6022,0,0,0,1,2,0.6375,0.9085,1,14,1,10,2,0.2927,3.33,0,1,0
2,22.1699,0,0,1,2,2,0.585,0.7887,0,1,0,-3,0,0.5212,9.16,0,0,0
2,-0.6022,0,0,1,3,1,0.5522,1.0386,1,0,0,-8,2,0.3482,6.45,0,0,0
1,-0.6022,0,0,1,3,1,0.5398,1.0402,1,0,0,-5,1,0.0005,6.49,0,0,2
2,11.4511,0,0,1,3,2,0.5808,1.2068,0,0,0,0,0,0.4524,10.48,0,0,0
2,22.2348,0,0,1,3,2,0.6378,1.011,0,0,0,-10,0,0.3326,5.79,0,0,0
2,16.4936,0,0,1,3,1,0.5411,1.0472,0,0,0,0,0,0.3536,6.66,0,0,1
1,21.5677,0,0,1,3,1,0.5278,0.8791,0,0,0,-2,0,0.0005,2.62,0,0,0
1,14.5383,1,0,1,2,2,0.4956,1.7166,0,1,0,-9,0,0.1333,22.72,0,0,1
1,3.7816,0,0,1,2,2,0.5037,1.5412,0,1,0,0,0,0.0532,18.51,0,0,0
2,-0.6022,0,0,0,2,3,0.5491,0.9439,1,1,0,-5,2,0.3047,4.18,0,0,0
2,0.8348,0,0,1,2,2,0.6375,0.9326,0,1,0,0,0,0.3015,3.91,0,0,0
2,0.0,1,0,1,2,1,0.6375,1.15,0,1,0,-13,0,0.4159,9.12,0,0,0
2,-0.6022,0,0,0,2,3,0.5889,1.005,1,1,0,-14,2,0.3305,5.64,0,0,0
1,2.56,0,0,1,2,2,0.5398,1.0069,0,1,0,-15,0,0.0005,5.69,0,0,1
2,17.0012,0,0,1,2,1,0.5267,1.0577,0,1,0,-7,0,0.3606,6.91,0,0,0
2,25.5397,0,0,0,1,3,0.5278,1.1472,0,2,0,2,0,0.4143,9.05,0,0,0
2,2.2053,0,0,0,1,2,0.6033,1.1829,0,2,0,1,0,0.4379,9.91,0,0,0
2,2.2301,0,0,0,1,2,0.6083,1.177,0,2,0,-5,0,0.4347,9.77,0,0,0
2,4.7407,0,0,1,3,1,0.5378,1.0497,0,12,0,1,0,0.3552,6.71,0,0,0
2,-0.6022,0,0,1,3,1,0.5933,1.0004,1,12,0,-2,2,0.3289,5.53,0,0,0
2,2.2301,0,0,1,3,3,0.5856,1.1032,0,12,0,12,0,0.3874,8.0,0,0,0
2,19.4691,0,0,1,2,1,0.5983,1.1877,0,13,0,11,0,0.4412,10.03,0,0,0
1,4.7407,0,0,1,2,2,0.5213,0.918,0,13,0,6,0,0.0005,3.55,0,0,0
2,6.4282,0,0,1,2,1,0.5511,1.1281,0,13,0,13,0,0.4035,8.6,0,0,0
1,8.4503,0,0,0,1,2,0.5283,1.73,0,14,0,10,0,0.1349,23.04,0,0,1
2,2.56,0,0,1,1,1,0.5844,1.1046,0,14,0,6,0,0.388,8.03,0,0,0
2,2.56,0,0,1,3,3,0.6356,1.0631,0,6,0,-3,0,0.3638,7.04,0,0,0
2,2.56,0,0,1,3,2,0.6142,1.1714,0,6,0,-1,0,0.431,9.64,0,0,0
1,32.3926,0,0,1,2,1,0.5231,0.9896,0,7,0,7,0,0.0005,5.27,0,0,0
2,2.2053,0,0,0,2,3,0.6067,0.9848,0,7,0,7,0,0.3224,5.16,0,0,0
1,17.6034,0,0,0,1,2,0.4935,0.9496,0,17,0,13,0,0.0591,13.03,0,0,0
2,3.5063,0,1,1,3,3,0.5867,1.0098,0,3,0,-12,0,0.3315,5.76,0,0,0
2,0.0,1,1,1,2,1,0.5625,0.6886,0,1,0,-1,0,0.4643,6.76,0,0,1
2,16.1664,0,0,1,2,1,0.6192,0.9522,0,1,0,-7,0,0.3672,13.17,0,0,0
2,3.7816,0,1,1,2,1,0.5389,1.1398,0,10,0,8,0,0.4095,8.88,0,0,0
2,0.0,1,0,0,1,2,0.5806,0.8953,0,14,1,13,0,0.2873,3.01,0,0,1
2,-0.8348,0,0,1,1,1,0.6008,0.9718,1,2,0,-12,2,0.379,13.64,0,1,0
2,-0.3116,0,0,1,3,3,0.5883,4.7053,2,15,2,9,4,0.4476,96.59,0,1,0
1,22.1699,0,1,1,1,1,0.5167,0.9267,0,2,0,0,0,0.0457,12.48,0,0,0
2,11.1292,0,0,0,1,2,0.5456,9.4943,1,14,1,14,2,0.3514,215.12,0,1,0
2,-3.7969,0,0,0,1,3,0.5911,4.1976,1,14,1,2,2,0.3299,91.24,0,0,0
2,-0.8348,0,0,1,2,2,0.5731,0.7169,1,1,0,-12,2,0.2531,7.52,0,0,0
2,1.4371,0,0,0,1,2,0.6217,0.7474,0,2,0,1,0,0.4976,8.17,0,0,0
1,1.4371,0,1,0,1,3,0.5028,0.8995,0,8,0,8,0,0.0285,11.82,0,0,0
2,-0.8348,0,0,0,2,3,0.6233,0.8705,2,4,1,4,4,0.3271,11.2,0,1,0
2,18.7369,0,0,1,2,1,0.625,1.1619,0,13,0,11,0,0.424,9.41,0,0,0
2,5.1625,0,0,0,2,3,0.5375,0.8425,0,1,0,1,0,0.5519,10.46,0,0,0
2,5.5756,0,0,1,2,1,0.6208,0.748,0,7,0,-4,0,0.4981,8.19,0,0,0
2,2.3598,0,0,1,3,3,0.5944,0.8246,0,3,0,0,0,0.3041,10.1,0,0,0
2,21.5677,0,0,0,1,2,0.5311,1.1444,0,8,0,4,0,0.4127,8.99,0,0,0
2,7.4342,0,0,1,3,2,0.5889,0.7004,0,3,0,3,0,0.2445,7.12,0,0,0
2,15.2187,0,1,1,3,2,0.6306,0.7781,0,3,0,2,0,0.2843,8.99,0,0,0
1,2.6714,0,0,1,3,3,0.5325,2.7738,0,3,0,0,0,0.1586,56.88,0,0,1
2,-1.4371,0,0,1,3,2,0.5704,0.7208,1,3,1,2,2,0.2547,7.61,0,0,0
2,-1.4371,0,0,1,3,1,0.6241,0.7843,1,3,0,-11,2,0.288,9.14,0,0,0
2,-1.4371,0,0,1,3,2,0.61,0.8817,1,3,0,-13,2,0.3335,11.47,0,0,0
2,-1.4371,0,0,1,3,3,0.6093,0.8041,1,3,0,-6,2,0.296,9.61,0,0,0
2,-1.4371,0,0,1,3,3,0.6267,0.8666,1,3,0,-6,2,0.3255,11.11,0,0,0
2,17.2115,0,0,1,3,2,0.6042,1.0142,0,3,0,2,0,0.3996,14.65,0,0,0
2,2.6714,0,1,1,3,1,0.6183,0.9537,0,3,0,-14,0,0.3678,13.2,0,0,0
2,2.3598,0,0,1,2,1,0.6044,0.933,0,7,0,2,0,0.3571,12.7,0,0,0
2,18.6342,1,1,1,2,1,0.6139,0.7971,0,4,0,-1,0,0.2934,9.44,0,0,0
2,17.9021,0,0,1,2,2,0.5975,0.9767,0,4,0,-3,0,0.3806,13.75,0,0,0
2,21.3999,0,0,0,2,3,0.6175,0.9962,1,4,0,-2,2,0.3903,14.22,0,1,0
2,12.9091,0,0,1,2,2,0.6222,0.787,0,4,0,-9,0,0.2891,9.2,0,0,0
1,-1.4371,0,0,1,2,2,0.5056,1.026,1,4,0,-12,1,0.0032,14.94,0,0,0
2,12.9091,0,0,1,2,1,0.5911,1.934,0,4,0,-4,0,0.3847,36.73,1,0,0
2,5.1024,0,1,0,2,3,0.6009,0.8153,0,4,0,4,0,0.3003,9.88,0,0,0
2,-0.8348,0,0,0,2,3,0.5967,0.8936,1,4,1,4,2,0.3399,11.76,0,1,0
2,1.3953,0,0,1,2,2,0.6242,0.9458,0,4,0,-3,0,0.364,13.01,0,0,0
2,12.9091,0,0,1,2,1,0.6148,0.6708,0,4,0,-1,0,0.2295,6.41,0,0,0
2,1.3953,0,0,1,2,1,0.6325,0.978,0,4,0,2,0,0.3812,13.78,0,0,0
2,18.6342,1,0,1,2,1,0.6185,0.7923,0,4,0,2,0,0.2912,9.33,0,0,0
2,1.3705,0,0,1,2,2,0.6233,0.9475,0,4,0,3,0,0.3646,13.05,0,0,0
1,2.9467,0,0,1,2,2,0.5308,2.7743,0,4,0,-3,0,0.1597,56.9,0,0,1
2,-0.8348,0,0,1,2,1,0.6289,0.8641,1,4,1,2,2,0.3244,11.05,0,1,0
2,15.2187,0,1,1,2,2,0.5611,0.7309,0,4,0,3,0,0.26,7.85,0,0,0
2,16.2873,0,1,1,2,2,0.6167,0.9972,0,4,0,4,0,0.3915,14.24,0,0,0
2,15.2187,0,1,1,2,2,0.6108,0.9614,0,4,0,3,0,0.3726,13.39,0,0,0
2,0.0,1,1,1,2,1,0.5811,1.8503,1,4,0,-1,2,0.3342,34.72,0,1,1
2,16.1664,0,0,1,2,2,0.5685,0.8548,0,4,0,0,0,0.3191,10.83,0,0,0
2,0.0,1,0,1,2,1,0.5898,0.8309,0,4,0,-7,0,0.3067,10.26,0,0,0
2,1.3953,0,0,0,2,3,0.6283,0.9421,0,4,0,4,0,0.3619,12.92,0,0,1
2,2.9467,0,0,1,2,2,0.5407,0.754,0,4,0,3,0,0.2718,8.41,0,0,0
2,-1.4371,0,0,1,2,2,0.5556,0.7357,1,4,1,3,2,0.2632,7.97,0,0,0
2,0.0,1,1,1,2,2,0.6089,0.8832,0,4,0,0,0,0.334,11.51,1,0,0
2,18.6342,1,0,1,2,2,0.6133,1.0013,0,4,0,-6,0,0.3937,14.34,0,0,0
1,-1.4371,0,0,0,2,3,0.5231,1.498,1,4,0,-2,1,0.007,26.26,0,1,1
2,-0.8348,0,0,0,2,3,0.5933,0.8975,1,4,0,-8,2,0.3415,11.85,0,0,0
2,21.3999,0,0,1,2,1,0.6074,0.8061,0,4,0,-4,0,0.2966,9.66,0,0,0
2,18.6342,1,0,1,2,1,0.5917,0.6965,1,4,1,2,2,0.2429,7.03,0,1,0
2,6.9475,0,0,0,1,3,0.5824,0.7065,0,5,0,5,0,0.2483,7.27,0,0,0
2,3.9059,0,1,1,1,1,0.6117,0.9599,1,5,1,-6,2,0.3721,13.35,0,0,0
2,1.7251,0,0,0,1,3,0.5194,0.7772,0,5,0,-4,0,0.2837,8.97,0,0,1
2,0.0,1,0,0,1,3,0.575,0.7144,0,5,1,5,0,0.252,7.46,0,0,0
2,0.0,1,1,0,1,2,0.613,0.6733,1,5,1,1,2,0.2306,6.47,0,1,0
2,2.3598,0,0,0,1,3,0.6325,0.6859,1,5,0,-1,2,0.2392,6.77,0,1,0
2,23.5096,0,1,0,1,2,0.5704,0.8527,0,5,0,5,0,0.318,10.78,0,0,0
2,17.9021,0,0,0,1,2,0.6222,0.8719,0,5,0,-5,0,0.3276,11.24,0,0,0
2,23.7592,0,0,0,1,2,0.5537,0.7385,0,5,0,5,0,0.2643,8.04,0,0,0
2,1.7251,0,0,1,1,1,0.6158,0.9983,0,5,0,-6,0,0.3921,14.27,0,0,0
2,2.3598,0,0,1,1,1,0.6056,0.6798,0,5,0,-3,0,0.2349,6.63,0,0,0
1,16.1664,0,0,0,1,2,0.5028,1.0111,0,5,0,1,0,0.0005,14.58,0,0,0
1,6.9475,0,1,0,1,2,0.5225,2.5893,0,5,0,1,0,0.1387,52.46,0,0,1
2,3.9059,0,1,1,1,1,0.6311,0.9035,1,5,0,-6,2,0.3448,12.0,0,0,0
2,20.7329,0,1,0,1,2,0.588,0.8322,0,5,0,-11,0,0.3078,10.29,0,0,1
2,4.1385,0,0,0,1,2,0.6241,0.6631,1,5,1,-2,2,0.2242,6.23,0,1,0
1,0.0,1,1,0,1,2,0.4889,0.8357,0,5,1,1,0,0.0005,10.37,0,0,0
2,3.9059,0,0,1,1,1,0.6156,0.9229,1,5,0,-3,2,0.3517,12.46,0,0,0
2,2.9467,0,0,1,1,1,0.5861,0.8368,0,5,0,3,0,0.3089,10.4,0,0,0
2,-1.4371,0,0,1,3,2,0.5544,1.9604,1,0,0,-4,2,0.4019,37.36,0,0,0
2,-0.8348,0,0,1,3,2,0.6233,0.9894,1,0,0,-10,2,0.3865,14.06,0,0,0
2,0.0,1,0,1,3,3,0.5741,0.7157,1,0,0,-3,2,0.2525,7.49,0,1,0
2,0.0,1,0,1,3,2,0.6333,0.8116,0,0,0,-4,0,0.2987,9.79,0,0,0
2,-0.8348,0,0,1,3,2,0.605,0.9679,1,0,0,-4,2,0.3763,13.54,0,1,0
2,7.03,0,0,1,3,1,0.63,0.9807,0,0,0,0,0,0.3828,13.85,0,0,0
